NM	nm
RECORD	record
id	id
type	type
modified	modified
language	language
license	license
rightsHolder	rightsholder
references	references
bibliographicCitation	bibliographiccitation
institutionID	institutionid
institutionCode	institutioncode
ownerInstitutionCode	ownerinstitutioncode
collectionCode	collectioncode
datasetName	datasetname
basisOfRecord	basisofrecord
dynamicProperties	dynamicproperties
OCCURRENCE	occurrence
occurrenceStatus	occurrencestatus
disposition	disposition
occurrenceID	occurrenceid
catalogNumber	catalognumber
recordedBy	recordedby
individualCount	individualcount
organismQuantity	organismquantity
organismQuantityType	organismquantitytype
sex	sex
lifeStage	lifestage
associatedReferences	associatedreferences
associatedTaxa	associatedtaxa
establishmentMeans	establishmentmeans
occurrenceRemarks	occurrenceremarks
EVENT	event
eventID	eventid
parentEventID	parenteventid
fieldNumber	fieldnumber
eventDate	eventdate
startDayOfYear	startdayofyear
endDayOfYear	enddayofyear
year	year
month	month
day	day
verbatimEventDate	verbatimeventdate
habitat	habitat
samplingProtocol	samplingprotocol
samplingEffort	samplingeffort
sampleSizeValue	samplesizevalue
sampleSizeUnit	samplesizeunit
eventRemarks	eventremarks
LOCATION	location
locationID	locationid
higherGeography	highergeography
continent	continent
country	country
countryCode	countrycode
stateProvince	stateprovince
county	county
municipality	municipality
locality	locality
verbatimLocality	verbatimlocality
minimumElevationInMeters	minimumelevationinmeters
maximumElevationInMeters	maximumelevationinmeters
decimalLatitude	decimallatitude
decimalLongitude	decimallongitude
geodeticDatum	geodeticdatum
coordinateUncertaintyInMeters	coordinateuncertaintyinmeters
coordinatePrecision	coordinateprecision
verbatimCoordinates	verbatimcoordinates
georeferencedBy	georeferencedby
georeferencedDate	georeferenceddate
locationRemarks	locationremarks
IDENTIFICATION	identification
identifiedBy	identifiedby
dateIdentified	dateidentified
verbatimIdentification	verbatimidentification
identificationRemarks	identificationremarks
TAXON	taxon
taxonRank	taxonrank
scientificName	scientificname
kingdom	kingdom
phylum	phylum
class	class
order	order
family	family
genus	genus
specificEpithet	specificepithet
scientificNameAuthorship	scientificnameauthorship
canonicalName	canonicalname
acceptedNameUsage	acceptednameusage
type_status	type_status
taxonRemarks	taxonremarks
REMOVE	remove
publ_id	publ_id
vol_ids	vol_ids
