No	file	name
1	landcover_class_01.tif	Evergreen/Deciduous Needleleaf Trees
2	landcover_class_02.tif	Evergreen Broadleaf Trees
3	landcover_class_03.tif	Deciduous Broadleaf Trees
4	landcover_class_04.tif	Mixed/Other Trees
5	landcover_class_05.tif	Shrubs
6	landcover_class_06.tif	Herbaceous Vegetation
7	landcover_class_07.tif	Cultivated and Managed Vegetation
8	landcover_class_08.tif	Regularly Flooded Vegetation
9	landcover_class_09.tif	Urban/Built-up
10	landcover_class_10.tif	Snow/Ice
11	landcover_class_11.tif	Barren
12	landcover_class_12.tif	Open Water
